x,y,psi,phi
-0.25306949536805484,-0.7168080747802618,1.5620458544770168,-0.3956815934258886
-0.2530679640549417,-0.716633081480161,1.5617647757682531,-0.3955883814324386
-0.25306638355499883,-0.7164580886173925,1.5614837706446736,-0.3954952857611558
-0.253064753881228,-0.7162830962056616,1.5612028390086292,-0.3954023064068133
-0.2530630750466176,-0.716108104258663,1.5609219807624986,-0.3953094433643374
-0.2530613470641428,-0.7159331127900808,1.560641195808687,-0.3952166966288093
-0.25305956994676526,-0.7157581218135882,1.5603604840496272,-0.3951240661954638
-0.25305774370743356,-0.7155831313428479,1.5600798453877787,-0.39503155205969054
-0.2530558683590829,-0.715408141391512,1.5597992797256275,-0.3949391542170333
-0.2530539439146351,-0.7152331519732217,1.5595187869656861,-0.3948468726631911
-0.2530519703869988,-0.7150581631016079,1.559238367010494,-0.39475470739401697
-0.25304994778906914,-0.7148831747902907,1.558958019762616,-0.3946626584055195
-0.25304787613372814,-0.71470818705288,1.5586777451246439,-0.394570725693862
-0.2530457554338444,-0.7145331999029746,1.5583975429991943,-0.3944789092553631
-0.2530435857022732,-0.7143582133541633,1.5581174132889104,-0.3943872090864968
-0.2530413669518566,-0.714183227420024,1.5578373558964604,-0.3942956251838923
-0.25303909919542317,-0.7140082421141245,1.5575573707245383,-0.3942041575443347
-0.25303678244578837,-0.7138332574500218,1.5572774576758628,-0.39411280616476496
-0.25303441671575416,-0.7136582734412626,1.556997616653178,-0.3940215710422794
-0.2530320020181092,-0.7134832901013834,1.556717847559253,-0.3939304521741309
-0.25302953836562897,-0.71330830744391,1.556438150296881,-0.39383944955772776
-0.2530270257710755,-0.713133325482358,1.5561585247688805,-0.39374856319063545
-0.2530244642471975,-0.7129583442302324,1.555878970878094,-0.3936577930705756
-0.25302185380673037,-0.7127833637010282,1.5555994885273883,-0.3935671391954263
-0.2530191944623962,-0.71260838390823,1.555320077619654,-0.3934766015632223
-0.2530164862269037,-0.7124334048653119,1.5550407380578062,-0.39338618017215543
-0.25301372911294834,-0.712258426585738,1.5547614697447831,-0.3932958750205746
-0.25301092313321216,-0.7120834490829621,1.5544822725835468,-0.3932056861069857
-0.25300806830036393,-0.7119084723704275,1.5542031464770827,-0.39311561343005197
-0.2530051646270591,-0.7117334964615677,1.5539240913283994,-0.3930256569885944
-0.25300221212593965,-0.7115585213698057,1.5536451070405286,-0.3929358167815913
-0.2529992108096344,-0.7113835471085543,1.5533661935165248,-0.3928460928081787
-0.2529961606907587,-0.7112085736912166,1.5530873506594656,-0.3927564850676508
-0.2529930617819146,-0.7110336011311851,1.5528085783724508,-0.39266699355946
-0.2529899140956908,-0.7108586294418424,1.5525298765586026,-0.39257761828321636
-0.25298671764466274,-0.710683658636561,1.5522512451210657,-0.3924883592386885
-0.25298347244139235,-0.7105086887287033,1.5519726839630068,-0.3923992164258041
